symbol,timeframe,timestamp,open,high,low,close,volume
NQ,1m,2026-06-01T09:30:00,100.00,101.00,99.00,100.50,1200
NQ,1m,2026-06-01T09:31:00,100.50,102.00,100.20,101.50,1350
NQ,1m,2026-06-01T09:32:00,101.50,102.50,101.20,102.10,1420
NQ,1m,2026-06-01T09:33:00,102.10,103.00,100.80,101.00,1880
NQ,1m,2026-06-01T09:34:00,100.60,100.80,99.50,99.80,1750
NQ,1m,2026-06-01T09:35:00,99.80,100.20,98.80,99.10,1600
NQ,1m,2026-06-01T09:36:00,99.10,99.40,97.90,98.30,1520
NQ,1m,2026-06-01T09:37:00,98.30,99.00,97.60,98.80,1490
NQ,1m,2026-06-01T09:38:00,98.80,99.20,97.70,98.90,1510
NQ,1m,2026-06-01T09:38:00,98.90,99.10,97.80,98.70,1515
NQ,1m,2026-06-01T09:39:00,98.90,99.50,97.20,97.80,1650
NQ,1m,2026-06-01T09:40:00,97.80,98.00,96.80,97.00,1710
NQ,1m,2026-06-01T09:42:00,97.00,98.50,94.00,98.20,2200
NQ,1m,2026-06-01T09:43:00,98.20,100.50,98.80,100.00,1900
NQ,1m,2026-06-01T09:44:00,102.00,103.00,101.20,102.50,2100
NQ,1m,2026-06-01T09:45:00,102.50,103.40,101.80,102.90,2050
NQ,1m,2026-06-01T09:46:00,102.90,103.10,101.00,101.40,1980
